"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.91075343286803,5,"1"
"2",2,0,1,5,4.93887777924588,5,"1"
"3",3,0,1,5,4.93887777924588,5,"1"
"4",4,0,1,5,4.88262908649019,5,"1"
"5",5,0,1,5,4.97637690774967,5,"1"
"6",6,0,1,5,4.97637690774967,5,"1"
"7",7,0,1,5,4.92950299711993,5,"1"
"8",8,0,1,5,4.89200386861614,5,"1"
"9",9,0,1,5,4.90137865074209,5,"1"
"10",10,0,1,5,4.90137865074209,5,"1"
"11",1,0,1,10,9.74814100985702,5,"1"
"12",2,0,1,10,9.76689057410891,5,"1"
"13",3,0,1,10,9.83251404899055,5,"1"
"14",4,0,1,10,9.76689057410891,5,"1"
"15",5,0,1,10,9.79501492048676,5,"1"
"16",6,0.1,0.9,10,9.81376448473865,5,"1"
"17",7,0,1,10,9.76689057410891,5,"1"
"18",8,0,1,10,9.83251404899055,5,"1"
"19",9,0.1,0.9,10,9.76689057410891,5,"1"
"20",10,0.1,0.9,10,9.70126709922728,5,"1"
"21",1,0.5,0.5,20,19.5260387672204,5,"1"
"22",2,0.3,0.7,20,19.5541631135983,5,"1"
"23",3,0.4,0.6,20,19.5635378957242,5,"1"
"24",4,0.5,0.5,20,19.591662242102,5,"1"
"25",5,0.5,0.5,20,19.5635378957242,5,"1"
"26",6,0.6,0.4,20,19.5635378957242,5,"1"
"27",7,0.4,0.6,20,19.4416657280869,5,"1"
"28",8,0.4,0.6,20,19.5447883314723,5,"1"
"29",9,0.6,0.4,20,19.601037024228,5,"1"
"30",10,0.6,0.4,20,19.5166639850945,5,"1"
"31",1,1,0,40,38.9787116785618,5,"1"
"32",2,1,0,40,38.8849638573023,5,"1"
"33",3,0.9,0.1,40,39.0818342819472,5,"1"
"34",4,0.8,0.2,40,39.109958628325,5,"1"
"35",5,1,0,40,39.0068360249396,5,"1"
"36",6,1,0,40,39.0724594998212,5,"1"
"37",7,0.9,0.1,40,39.0724594998212,5,"1"
"38",8,1,0,40,38.941212550058,5,"1"
"39",9,1,0,40,39.0349603713175,5,"1"
"40",10,1,0,40,39.0724594998212,5,"1"
"41",1,1,0,80,78.1278018365191,5,"1"
"42",2,1,0,80,78.2965479147862,5,"1"
"43",3,1,0,80,78.33404704329,5,"1"
"44",4,1,0,80,78.0153044510078,5,"1"
"45",5,1,0,80,78.0153044510078,5,"1"
"46",6,1,0,80,78.1090522722672,5,"1"
"47",7,1,0,80,78.2965479147862,5,"1"
"48",8,1,0,80,78.155926182897,5,"1"
"49",9,1,0,80,78.3059226969121,5,"1"
"50",10,1,0,80,78.1746757471489,5,"1"
"51",1,1,0,100,97.5148512729789,5,"1"
"52",2,1,0,100,97.7304712618757,5,"1"
"53",3,1,0,100,97.6367234406162,5,"1"
"54",4,1,0,100,97.5804747478605,5,"1"
"55",5,1,0,100,97.5898495299865,5,"1"
"56",6,1,0,100,97.664847786994,5,"1"
"57",7,1,0,100,97.5148512729789,5,"1"
"58",8,1,0,100,97.4586025802232,5,"1"
"59",9,1,0,100,97.6554730048681,5,"1"
"60",10,1,0,100,97.664847786994,5,"1"
"61",1,0,1,5,4.91075343286803,10,"1"
"62",2,0,1,5,4.93887777924588,10,"1"
"63",3,0,1,5,4.93887777924588,10,"1"
"64",4,0,1,5,4.88262908649019,10,"1"
"65",5,0,1,5,4.97637690774967,10,"1"
"66",6,0,1,5,4.97637690774967,10,"1"
"67",7,0,1,5,4.92950299711993,10,"1"
"68",8,0,1,5,4.89200386861614,10,"1"
"69",9,0,1,5,4.90137865074209,10,"1"
"70",10,0,1,5,4.90137865074209,10,"1"
"71",1,0,1,10,9.74814100985702,10,"1"
"72",2,0.1,0.9,10,9.76689057410891,10,"1"
"73",3,0,1,10,9.83251404899055,10,"1"
"74",4,0,1,10,9.76689057410891,10,"1"
"75",5,0,1,10,9.79501492048676,10,"1"
"76",6,0,1,10,9.81376448473865,10,"1"
"77",7,0,1,10,9.76689057410891,10,"1"
"78",8,0,1,10,9.83251404899055,10,"1"
"79",9,0,1,10,9.76689057410891,10,"1"
"80",10,0,1,10,9.70126709922728,10,"1"
"81",1,0.4,0.6,20,19.5260387672204,10,"1"
"82",2,0.4,0.6,20,19.5541631135983,10,"1"
"83",3,0.3,0.7,20,19.5635378957242,10,"1"
"84",4,0.5,0.5,20,19.591662242102,10,"1"
"85",5,0.3,0.7,20,19.5635378957242,10,"1"
"86",6,0.6,0.4,20,19.5635378957242,10,"1"
"87",7,0.4,0.6,20,19.4416657280869,10,"1"
"88",8,0.5,0.5,20,19.5447883314723,10,"1"
"89",9,0.1,0.9,20,19.601037024228,10,"1"
"90",10,0.3,0.7,20,19.5166639850945,10,"1"
"91",1,0.9,0.1,40,38.9787116785618,10,"1"
"92",2,1,0,40,38.8849638573023,10,"1"
"93",3,1,0,40,39.0818342819472,10,"1"
"94",4,0.9,0.1,40,39.109958628325,10,"1"
"95",5,1,0,40,39.0068360249396,10,"1"
"96",6,1,0,40,39.0724594998212,10,"1"
"97",7,1,0,40,39.0724594998212,10,"1"
"98",8,1,0,40,38.941212550058,10,"1"
"99",9,1,0,40,39.0349603713175,10,"1"
"100",10,1,0,40,39.0724594998212,10,"1"
"101",1,1,0,80,78.1278018365191,10,"1"
"102",2,1,0,80,78.2965479147862,10,"1"
"103",3,1,0,80,78.33404704329,10,"1"
"104",4,1,0,80,78.0153044510078,10,"1"
"105",5,1,0,80,78.0153044510078,10,"1"
"106",6,1,0,80,78.1090522722672,10,"1"
"107",7,1,0,80,78.2965479147862,10,"1"
"108",8,1,0,80,78.155926182897,10,"1"
"109",9,1,0,80,78.3059226969121,10,"1"
"110",10,1,0,80,78.1746757471489,10,"1"
"111",1,1,0,100,97.5148512729789,10,"1"
"112",2,1,0,100,97.7304712618757,10,"1"
"113",3,1,0,100,97.6367234406162,10,"1"
"114",4,1,0,100,97.5804747478605,10,"1"
"115",5,1,0,100,97.5898495299865,10,"1"
"116",6,1,0,100,97.664847786994,10,"1"
"117",7,1,0,100,97.5148512729789,10,"1"
"118",8,1,0,100,97.4586025802232,10,"1"
"119",9,1,0,100,97.6554730048681,10,"1"
"120",10,1,0,100,97.664847786994,10,"1"
"121",1,0,1,5,4.91075343286803,100,"1"
"122",2,0,1,5,4.93887777924588,100,"1"
"123",3,0,1,5,4.93887777924588,100,"1"
"124",4,0,1,5,4.88262908649019,100,"1"
"125",5,0,1,5,4.97637690774967,100,"1"
"126",6,0,1,5,4.97637690774967,100,"1"
"127",7,0,1,5,4.92950299711993,100,"1"
"128",8,0,1,5,4.89200386861614,100,"1"
"129",9,0,1,5,4.90137865074209,100,"1"
"130",10,0,1,5,4.90137865074209,100,"1"
"131",1,0,1,10,9.74814100985702,100,"1"
